train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
0.006, 99.794, 0.457, 92.720, 18.39, 2.30
0.008, 99.724, 0.482, 91.960, 18.45, 2.33
0.010, 99.644, 0.450, 92.560, 18.33, 2.30
0.010, 99.676, 0.458, 92.500, 18.35, 2.31
0.010, 99.624, 0.463, 92.380, 18.43, 2.33
0.007, 99.788, 0.446, 92.830, 18.43, 2.35
0.009, 99.696, 0.447, 92.500, 18.34, 2.33
0.009, 99.734, 0.454, 92.850, 18.31, 2.30
0.008, 99.740, 0.494, 92.130, 18.39, 2.32
0.011, 99.652, 0.458, 92.450, 18.43, 2.31
0.009, 99.682, 0.450, 93.040, 18.55, 2.44
0.008, 99.736, 0.455, 92.470, 18.55, 2.35
0.006, 99.814, 0.438, 92.930, 18.48, 2.31
0.007, 99.762, 0.479, 92.520, 18.41, 2.33
0.007, 99.736, 0.512, 92.290, 18.27, 2.28
0.008, 99.760, 0.466, 92.450, 18.30, 2.30
0.006, 99.824, 0.467, 92.390, 18.24, 2.30
0.007, 99.782, 0.489, 92.440, 18.22, 2.29
0.009, 99.694, 0.487, 92.390, 18.25, 2.32
0.008, 99.706, 0.470, 92.590, 18.40, 2.32
0.006, 99.802, 0.454, 92.970, 18.36, 2.32
0.010, 99.670, 0.461, 92.740, 18.36, 2.31
0.009, 99.720, 0.462, 92.820, 18.46, 2.35
0.006, 99.814, 0.450, 92.830, 18.57, 2.35
0.006, 99.816, 0.479, 92.570, 18.61, 2.36
0.008, 99.744, 0.511, 92.290, 18.71, 2.36
0.008, 99.762, 0.459, 92.890, 18.71, 2.38
0.004, 99.870, 0.460, 92.990, 18.93, 2.40
0.006, 99.826, 0.462, 92.920, 18.88, 2.40
0.005, 99.834, 0.481, 92.750, 18.98, 2.41
0.005, 99.818, 0.488, 92.640, 19.12, 2.42
0.005, 99.848, 0.485, 92.790, 19.10, 2.42
0.006, 99.788, 0.483, 92.840, 19.10, 2.43
0.006, 99.786, 0.513, 92.690, 19.13, 2.43
0.006, 99.810, 0.478, 92.810, 19.18, 2.48
0.007, 99.772, 0.523, 92.280, 19.07, 2.42
0.006, 99.788, 0.478, 92.670, 19.11, 2.45
0.007, 99.790, 0.508, 92.440, 19.00, 2.42
0.005, 99.818, 0.472, 92.990, 18.94, 2.40
0.005, 99.838, 0.485, 92.760, 19.00, 2.41
0.005, 99.844, 0.484, 92.910, 19.12, 2.42
