train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
0.009, 99.690, 0.463, 92.460, 36.00, 2.52
0.009, 99.720, 0.459, 92.370, 35.98, 2.46
0.008, 99.712, 0.454, 92.500, 35.95, 2.51
0.006, 99.758, 0.459, 92.840, 35.93, 2.54
0.006, 99.788, 0.453, 92.580, 34.66, 2.33
0.007, 99.760, 0.450, 92.820, 34.14, 2.31
0.008, 99.714, 0.499, 92.400, 34.06, 2.30
0.009, 99.666, 0.496, 92.260, 33.98, 2.32
0.011, 99.650, 0.494, 92.340, 34.07, 2.30
0.012, 99.592, 0.500, 92.130, 34.15, 2.38
0.010, 99.662, 0.473, 92.510, 34.37, 2.35
0.008, 99.690, 0.476, 92.510, 34.56, 2.37
0.009, 99.718, 0.481, 92.140, 35.04, 2.44
0.008, 99.724, 0.476, 92.260, 35.49, 2.44
0.007, 99.814, 0.460, 92.510, 35.77, 2.41
0.007, 99.780, 0.452, 92.760, 36.04, 2.49
0.008, 99.740, 0.465, 92.520, 36.14, 2.50
0.007, 99.760, 0.457, 92.760, 36.08, 2.43
0.007, 99.736, 0.477, 92.410, 35.98, 2.45
0.007, 99.746, 0.486, 92.750, 35.98, 2.43
0.007, 99.798, 0.478, 92.600, 35.78, 2.41
0.007, 99.760, 0.468, 92.640, 35.70, 2.46
0.008, 99.748, 0.481, 92.430, 35.95, 2.48
0.007, 99.774, 0.465, 92.530, 35.89, 2.42
0.008, 99.716, 0.477, 92.590, 35.75, 2.43
0.008, 99.720, 0.456, 92.720, 35.76, 2.43
0.006, 99.812, 0.492, 92.350, 35.97, 2.43
0.006, 99.798, 0.463, 92.790, 36.01, 2.45
0.006, 99.812, 0.471, 92.710, 35.93, 2.43
0.007, 99.774, 0.474, 92.610, 35.87, 2.41
0.006, 99.798, 0.462, 92.590, 35.90, 2.42
0.005, 99.824, 0.474, 93.000, 35.95, 2.55
0.005, 99.822, 0.463, 92.940, 35.85, 2.44
0.006, 99.808, 0.466, 92.860, 35.82, 2.41
0.007, 99.764, 0.488, 92.760, 35.89, 2.41
0.005, 99.870, 0.445, 93.000, 35.82, 2.47
0.006, 99.796, 0.476, 92.740, 35.86, 2.43
0.007, 99.784, 0.480, 92.590, 35.36, 2.35
0.006, 99.820, 0.480, 92.580, 34.28, 2.29
0.004, 99.860, 0.474, 92.810, 33.98, 2.30
0.006, 99.810, 0.505, 92.480, 34.07, 2.28
